department,title,date,link,context
이과대학,2024학년도 1학기 졸업앨범 사진촬영 안내,2024.04.11,http://science.yonsei.ac.kr/community/notice/300230?p=2,"<2024학년도 1학기 졸업앨범 사진촬영 안내>1. 일시:2024년 4월 29일(월) ~ 5월 14일(화)※ 우천시 예비일: 5월 9일(목), 10일(금), 13일(월)2. 장소: 학생회관 4층, 본관 앞(언더우드관 앞)3. 방식: 학과별 촬영 일자에 참석하여 촬영(실내 프로필, 학사모 사진, 야외 프로필, 학과 단체사진 촬영)**붙임의 촬영일정을 꼭 확인해 주시기 바랍니다.**"
이과대학,2024년도 교육부 기초과학연구역량강화사업 인프라 고도화,2024.03.16,http://science.yonsei.ac.kr/community/notice/300229?p=2,
이과대학,2024학년도 1학기 연구활동종사자 신규 및 정기 안전교육(법정 필수교육) 수강안내 - 2024 학부 신입생 포함,2024.03.11,http://science.yonsei.ac.kr/community/notice/300228?p=2,* 문서 상에 표시된 노란 박스 안의 내용은 2024 학부 신입생에게도 포함되는 공지사항입니다.
이과대학,2024년 2월 졸업자 학위가운 세탁/보관료 납부 안내,2024.02.15,http://science.yonsei.ac.kr/community/notice/300227?p=2,**자세한 내용은 해당 학과에 문의하세요.**수학과    2123-2580물리학과 2123-2605화학과    2123-2630지구시스템과학과 2123-2665천문우주학과   2123-8224대기과학과      2123-8150
이과대학,"2024학년도 1학기 캠퍼스내/졸업예정자 복수전공, 연계전공 신청 안내",2023.12.06,http://science.yonsei.ac.kr/community/notice/300221?p=2,
이과대학,2024학년도 1학기 재입학 전형 안내,2023.11.16,http://science.yonsei.ac.kr/community/notice/300219?p=2,
이과대학,2023학년도 2학기 졸업앨범 사진촬영 안내,2023.09.01,http://science.yonsei.ac.kr/community/notice/300214?p=2,"1. 일시: 2023년 9월 18일(월) ~ 22일(금)※ 우천시 예비일: 9월 25일(월) ~ 27(수)2. 장소: 학생회관 4층, 본관 앞(언더우드관 앞)3. 방식: 개별 예약 후 실내 프로필, 학사모 사진, 야외 프로필 촬영4. 붙임의 촬영일정을 꼭 확인해 주시기 바랍니다."
이과대학,"2023년 8월 졸업자 학위가운 세탁, 보관료 납부 안내",2023.08.07,http://science.yonsei.ac.kr/community/notice/300212?p=2,**자세한 내용은 해당 학과에 문의하세요.**수학과2123-2580물리학과2123-2605화학과2123-2630지구시스템과학과2123-2665천문우주학과2123-8224대기과학과2123-8150
이과대학,현장실습 참가 학생 모집-가을학기,2023.07.18,http://science.yonsei.ac.kr/community/notice/300211?p=2,
이과대학,"2023학년도 AI융합심화전공 선발 안내 <지원자격 :수학과, 화학과, 대기과학과 소속 학생>",2023.06.21,http://science.yonsei.ac.kr/community/notice/300208?p=2,
이과대학,"2023학년도 2학기 캠퍼스내/졸업예정자 복수전공, 연계전공 신청 안내",2023.06.15,http://science.yonsei.ac.kr/community/notice/300207?p=3,
이과대학,(재)아산시미래장학회 2023년 4차산업 인재육성 장학생 선발 공고 안내,2023.05.24,http://science.yonsei.ac.kr/community/notice/300206?p=3,
이과대학,2023학년도 2학기 재입학 전형 안내,2023.05.10,http://science.yonsei.ac.kr/community/notice/300199?p=3,
이과대학,2023학년도 여름 계절학기 현장실습 모집 안내,2023.05.01,http://science.yonsei.ac.kr/community/notice/300197?p=3,
이과대학,2023학년도 2학기 캠퍼스내 소속변경 전형 안내,2023.04.19,http://science.yonsei.ac.kr/community/notice/300195?p=3,
이과대학,2024학년도 교직과정 이수예정자 선발 전형 안내,2023.04.19,http://science.yonsei.ac.kr/community/notice/300194?p=3,
이과대학,이공계 장애학생 진로개발 사업지원 '모두(MODU)' 장학생 모집 안내,2023.03.28,http://science.yonsei.ac.kr/community/notice/300193?p=3,
이과대학,2023년 2월 졸업자 학위가운 추가대여 안내,2023.03.10,http://science.yonsei.ac.kr/community/notice/300191?p=3,
이과대학,2023년 2월 이과대학 학위수여식 안내,2023.02.16,http://science.yonsei.ac.kr/community/notice/300185?p=3,
이과대학,2023년 2월 졸업자 학위가운 세탁.보관료 납부 안내,2023.02.03,http://science.yonsei.ac.kr/community/notice/300184?p=3,
이과대학,2023학년도 1학기 졸업예정자 복수전공 전형 요강,2022.12.15,http://science.yonsei.ac.kr/community/notice/300179?p=4,
이과대학,2023학년도 1학기 캠퍼스내/간 재학생 복수전공(구.이중(다중)전공) 신청 안내,2022.12.15,http://science.yonsei.ac.kr/community/notice/300178?p=4,
이과대학,2023학년도 1학기 캠퍼스내 복수전공 신청 안내,2022.12.15,http://science.yonsei.ac.kr/community/notice/300176?p=4,
이과대학,2023학년도 1학기 캠퍼스내 연계전공 신청 안내,2022.12.15,http://science.yonsei.ac.kr/community/notice/300171?p=4,
이과대학,2023학년도 1학기 재입학 전형 안내,2022.11.11,http://science.yonsei.ac.kr/community/notice/300166?p=4,
이과대학,2022학년도 졸업앨범 3차 추가촬영 안내,2022.11.08,http://science.yonsei.ac.kr/community/notice/300165?p=4,"<2022학년도 졸업앨범 3차 추가촬영 안내>1. 일자 : 2022년 11월 22일(화)2. 장소 : 학생회관 4층(실내 프로필, 학사모), ※ 야외 프로필, 단체 사진은 미진행3. 촬영 대상자 :2022년 8월,  2023년 2월, 8월 졸업 예정인 학부생-2023년 2월에 발간되는 ‘2023년도졸업앨범’ 에 수록 되는 촬영입니다.-졸업앨범은 매년 2월, 1년에 한 번만 발간되며, 작년에 촬영하지 못한 올해 8월 졸업생의 경우, 이번에 촬영을 하더라도 앨범은 내년 2월에 찾아갈 수 있습니다.4.첨부파일 확인후 예약5. 문의 :  세븐칼라사진, 02-776-6666 (평일 오전 9시 ~ 7시,토, 일 휴무)"
이과대학,연세대학교 이과대학 홈페이지 리뉴얼 완료,2022.10.06,http://science.yonsei.ac.kr/community/notice/300164?p=4,안녕하세요 연세대학교 이과대학 홈페이지가 리뉴얼 되었습니다.반응형으로 제작되어 PC 및 모바일에서 쉽게 이용하실 수 있습니다.많은 이용과 관심 부탁 드립니다.
