department,title,date,link,context,images
도시공학과,[공지][동문회] 동문 근조기 관련,23.04.07,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=163767&article.offset=0&articleLimit=10,"연세대학교 도시공학과에서는 동문들의 부고 소식이 있을 경우 학과의 근조기를 식장으로 원활하게배송할 수 있도록 아래 업체와 협력을 시작했습니다.근조기 배달비용은 개별 신청자 부담이며, 연세대학교 도시공학과 동문일 경우 누구나 신청 가능합니다.근조기의 경우 이전 접수된 건이 많을 경우 배송이 불가할 수 있습니다.많은 이용 바랍니다.<결제 및 배송 관련 문의>- 업 체: 다이아몬드 플래그(슈빅)- 연락처: 1544-6782 / 02-499-4994 / 010-7181-9980 (문자수신전용)- e-mail: flag@shuvic.co.kr",
도시공학과,[학부] [장학] 2025년도 해동장학생 선발 안내,24.11.27,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=215732&article.offset=0&articleLimit=10,- 관련 문의: 공과대학 행정1팀 김희정 선생님(02-2123-5734)- 서류 제출: HJ07@YONSEI.AC.KR- 제출 기한: 2025년 1월 7일(화),image\GsUixkulOiEnCdCsGiiQ0.png
도시공학과,[대학원] 일반대학원 학위논문 표절 검사 필수(의무) 시행 안내,24.11.21,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=215486&article.offset=0&articleLimit=10,일반대학원 학위논문 표절 검사 필수(의무) 시행 안내1. 관련근거 : 일반대학원 학위논문에 관한 내규 제9조(학위논문심사)2. 제출대상 : 석·박사 학위논문 제출 예정자3. 시행방법 : 학위논문 본심사 완료 후 제출4. 학과 표절률 기준 :15%5. 제출서류 : 학위논문 표절검사 결과 확인서(붙임1 참조)6. 제출방법 : 학사포탈시스템에 업로드(붙임2 메뉴얼 참조)7. 제출일정 : 2024. 12. 16(월) ~ 24. 12. 27(금)8.유의사항: 미제출자는 졸업사정이 불가함.,
도시공학과,[학부] [장학] 2025학년도 관정이종환교육재단 장학생 선발 안내,24.11.18,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=215265&article.offset=0&articleLimit=10,"가. 추천대상:공과대학 3명나. 추천조건:1) 2025년 1학기에 3학년 1학기 재학예정자2) 전학년 평량평균 3.8/4.3 이상3) 2001.1.1. 이후 출생자4) 편입생 불가다. 장학금액:아래 두 유형 중 택 11) 관정성적우수장학금:6백만원(등록금+생활비, 국가장학금 포함한 모든 타장학금 중복수혜불가)* 수정2) 관정학업장려장학금: 생활비성 장학금 4백만원(국가장학금 또는 교내장학금 중복수혜 가능, 타 외부재단 장학금 중복수혜 불가)라. 제출서류:1) 이름, 소속, 학번, 소득수준, 지원이유, 고등학교성적, 대학교 성적/어학능력, 각종활동 내역 간략기재(자유서식)2) 이후 학교에서 추천된 학생들 대상으로 재단에서 추후 안내(온라인 지원, 증빙서류 제출 등) 예정3) 재단에서 심사 통해 최종적으로 수혜학생 선정될 예정마. 제출기한 및 문의:11월 26일(화) HJ07@YONSEI.AC.KR(02-2123-5734)",
도시공학과,[대학원] 2025학년도 전기 대학원 연세우수장학금Ⅱ 신청 안내,24.11.14,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=215103&article.offset=0&articleLimit=10,"2025학년도 전기 대학원 연세우수장학금Ⅱ 신청 안내2025학년도 전기 신입생 중 「대학원 연세우수학생장학금 II」 장학생을 선발할 예정이오니24.12.10.(화)까지 제출서류를 학과(urban@yonsei.ac.kr)로 제출하시기 바랍니다.가. 신청대상(다음 항목을 모두 충족한 신입생)1) 현재 신분이 중앙부처 공무원(사무관급 이상) 및 이에 준하는 자2) 2025학년도 전기 일반대학원 박사과정(통합과정 포함) 신입생3) 지도교수 또는 주임교수 및 학장의 추천을 받은 자나. 신청마감: 2024. 12. 10.(화)다. 장학금 지원 범위: 대학원 입학금 전액 및 정규등록학기 등록금 전액(단, 선발된 학생은 장학금 수혜 기간 중, 매 학기 성적 3.4/4.3 이상 유지 필수)※ 교내 및 외부장학금 중복수혜와 학자금대출 불가※ 장학 기간 내, 매 학기 재직증명서 제출 필수(재직 확인 불가시 장학생 자격 박탈)라. 제출서류1) 장학금 지원서 및 추천서 1부.2) 이력서 및 연구계획서(입학 지원시 제출서류) 각 1부.3) 전학년 성적증명서(학부과정 및 석사과정) 각 1부.4) 재직증명서(최근 3개월 이내 발급분) 1부.마. 기타사항1) 국가고시 합격자일 경우 고시일과 합격일 기재2) 대학원생 폭력예방교육 이수 필수(입학 후 반드시 폭력예방교육 이수 완료 이수증 제출 )바.비고: 심사결과에 따라 선발하지 않을 수 있음.",
도시공학과,[대학원] 24-2학기 학위논문심사(본심사) 안내,24.11.13,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=215036&article.offset=0&articleLimit=10,"24-2학기 학위논문심사(본심사) 안내1. 심사운영지침: 대면심사2. 단, 불가피한 사유로 비대면 심사가 필요한 경우에는 반드시 비대면심사 지침과 절차를 준수하여 주시기 바랍니다.가. 심사위원이 해외체류인 경우, 심사대상자가 공동연구를 위해 해외체류인 경우나. 심사위원이 불가피한 사유(질병, 코로나-19 격리 등)으로 인해 대면심사가 불가능한 경우3. 비대면심사 시 제출서류가. 논문심사 전: 비대면심사 시행신청서(붙임2) 제출나. 논문심사 후1) 비대면심사현황 보고(붙임3): 24.12.20(금)까지 제출2) 심사위원은 본심사의견, 점수, 서명기재 스캔본을 심사위원장에게 이메일로 제출,심사위원장은 비대면 심사여부 확인하여 학위논문심사보고서와 증빙자료를 학과에 제출.3) 비대면증빙자료(화상회의 화면 캡쳐본, 이메일, 우편 등)4. 본심사보고서제출마감: 가 or 나 둘중 하나 선택가. 심사위원 학사포탈사이트 직접 입력: 24.12.20(금)까지나. 본심사보고서 원본제출: 24.12.20(금)까지_심사결과, 심사일, 서명또는도장5. 본심사보고서는 4공대 D301호에서 학생이 수령합니다.(대리수령가능)6. 학위논문제목 수정이 필요한 학생은 반드시 학사포탈시스템 통해서 신청하시기 바랍니다.",
도시공학과,[대학원] 24-2학기 대학원 종합시험 안내,24.11.01,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=214339&article.offset=0&articleLimit=10,"24-2학기 대학원 종합시험 안내1. 응시자격 :1) 영어시험에 통과한 학생(확인방법 : 성적증명서 오른쪽 상단에 영어시험 통과 날짜 확인)2) 학과 내규에 의해 필수교과목 이수한 학생3)""연구윤리"" 또는 ""공학윤리와 연구방법론"" 이수자2. 접수기간 : 2024. 11. 4(월) ~ 2024. 11. 8(금)3. 접수방법 : 4공대 D301호1) 제출서류 : 학과 응시서류 및 성적증명서, 2024-2학기 수강내역(포탈사이트출력)4. 시험 일정 및 장소1) 종합시험 필기시험 : 24. 12. 6(금) 오후 2시, D507호(변동가능)2) 박사과정 구술평가 : 24. 12. 16(월) 오후 4시(변동가능), S101호박사과정 응시자는 구술시험 전(12. 16(월) 오후 2시) 논문작성 계획서(자유양식)를 총 10부를 학과사무실에 제출5. 기타- 외국어성적 미제출자는 자격기준에 맞는 성적표와 함께 종합시험 응시서류 제출 및 시험 응시 가능합니다.단, 외국어성적 합격처리를 위해 24년 12월에 학과 홈페이지 통해서 공지되는 외국어성적제출 안내에 따라 접수(등록)를 반드시하셔야만 합니다.* 문의사항 : 02-2123-2890",
도시공학과,[학부] [장학] 2024학년도 2학기 DB드림서포트장학생 선발 안내,24.10.24,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=213909&article.offset=0&articleLimit=10,"가. 추천대상:공과대학 3명나. 추천조건:1) 학자금 지원구간 2구간 이하2) 전체 평량평균 3.0/4.5 이상(휴학생 제외)3) 학업열의가 높은 학생4) 타 재단 생활비성 장학금을 수혜받지 않는 학생을 추천하는 것을 권장다. 장학금액:생활비성 장학금 250만원라. 제출서류:1) 장학신청서(학생이 DB김준기문화재단 홈페이지에서 온라인 작성 후 출력)2) 추천서(붙임파일, 학과장 또는 지도교수 작성)3) 성적증명서 원본(2024학년도 1학기 포함 전학년 성적, 사진촬영본 X)4) 학자금 지원구간 통지서마. 제출기한:2024년 11월 4일까지 공과대학 행정1팀(제1공학관 N601호) 김희정 선생님에게 원본 제출",
도시공학과,[학부] [안내] 한국공학한림원 차세대공학리더(YEHS) 선발 안내,24.10.23,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=213771&article.offset=0&articleLimit=10,"게시글 내용[지원자격]- 3학년이하 학생- 활동의지가 있는 학생(다양한 프로그램 참여 필요)[제출자료]- 학생신청 서식(붙임파일)- 개인정보수집이용동의서(붙임파일)- 성적증명서[제출일정]- 기한:~2024년 11월 1일(금) 15시까지- 제출처: HJ07@yonsei.ac.kr추천 학생 중 공과대학에서 최종 3인이 선발될 예정입니다.선발된 학생은 하기 NAEK Forum에 초청받고 공학한림원 회원분들 앞에서 인증서를 받게됩니다.[제276회 NAEK FORUM]- 일 시: 2024. 11. 18(월), 17:00- 장 소: 양재 엘타워 7층 '그랜드홀'- 주 제: 혁신허브 코리아의 전진기지, 창업대학- 연 사: 정형일 (주)주빅 창업자/연세대학교 교수",
도시공학과,[학부] [안내] 2025학년도 1학기 캠퍼스내 소속변경 전형 안내,24.10.17,https://urban.yonsei.ac.kr/urban/notice/notice.do?mode=view&articleNo=213421&article.offset=0&articleLimit=10,"1. 모집 학과◼ 지원가능 현황표에서 확인◼ 일반 학과(전공) 학생의 예・체능계열, 언더우드국제대학 모든 학과, 시스템반도체공학과, 디스플레이융합공학과, 의과 대학, 치과대학, 간호대학, 약학대학으로의 소속변경은 불허함2. 지원 자격 및 범위◼ 당초입학생에 한하여 지원 가능◼ 제1전공이 승인된 학생(휴학생 지원 가능) 중에서 3학기 이상 이수한 2학년 또는 6학기 이수 전인 3학년 재학생 및 휴학생에 한하여 지원 가능※ 3학년(6학기 이수자) 과정을 이수한 재학생이나 휴학생은 지원할 수 없음※ 예·체능계열 입학자 및 시스템반도체공학과, 디스플레이융합공학과 학생은 소속변경 지원 불가함◼ 현 소속학과의 전공과목 중 최소 9학점 이상 이수한 자에 한하여 지원 가능3. 전형 방법1) 1차 심사◼ 소속학과 전공과목 9학점 이상 이수 여부 및 소속학과·대학의 1차 심사 종합의견 심의2) 2차 심사◼ 지원 대학·학과에서 서류 심사 후 면접대상자 선정(단 지원대상자의 면접 기회를 부여하기 위해 지원인원의 50%이상 면접을 원칙으로 함)◼ 서류 심사 합격자 대상 면접 심사 진행(필요에 따라 실기 및 필기시험 부과)4 . 전형 일정1) 신청기간: 2024. 10. 28.(월) ~ 11. 1.(금) 오후 5시2) 신청방법◼ 연세포탈서비스(http://portal.yonsei.ac.kr) 접속 후 로그인◼ 학사정보시스템 → 학사행정 → 학적 → 학생 → 캠퍼스내 소속변경신청◼ 소속변경 신청 화면에서 소속변경 사유 및 학업계획을 작성하고 저장3) 면접대상자 발표: 2024. 11. 14.(목) 오전 10시* 연세포탈서비스 로그인 → 학사행정 → 학적 → 학생 → 캠퍼스내 소속변경신청 메뉴 → 진행상태에서 확인4) 2차 면접심사 일정 및 장소: 2024. 11. 19.(화)* 면접 심사는 대면면접을 원칙으로 합니다.* 연세포탈서비스 로그인 → 학사행정 → 학적 → 학생 → 캠퍼스내 소속변경신청 메뉴 → 면접안내정보에서 확인5) 최종 합격자 발표: 2024. 11. 29.(금)* 연세포탈서비스 로그인 → 학사행정 → 학적 → 학생 → 캠퍼스내 소속변경신청 메뉴 → 최종심사결과에서 확인5. 유의사항1) 소속변경에 합격하더라도 학번은 변동되지 않음2) 당초입학생이 아닌 편입생(일반,학사,군위탁), 졸업예정자 복수전공생은 소속변경을 지원할 수 없음 2) 소속변경 지원서 접수 후 취소가 불가하여 신중히 지원여부를 결정하여야 함4) 소속변경 합격 후에는 취소가 불가함5) 소속변경 합격자는 전입한 학과에서 지정한 교과과정을 이수하여야 함 6) 소속변경생은 최우등·우등졸업 대상에서 제외됨7) 글로벌인재대학으로의 소속변경은 반드시 희망 학과를 선택하여 신청해야함",
