department,title,date,link,context
사학과,사학과 학생회 활동인증서 발급 안내,2024.11.01,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=214388&article.offset=0&articleLimit=10,"안녕하세요. 사학과 사무실입니다.매년 9월에 진행되는 로스쿨 원서접수로 인해 많은 학생들이 사학과 사무실에 ‘학생회 활동 인증서’를 요청하고 있습니다. 9월은 수강신청 및 기타 학사 업무가 많은 기간으로, 인증서 발급 관련한 기존의 과정을 사전에 완료하고자 합니다.학생회 활동 인증서를 발급받고자 하는 경우 아래와 같은 절차를 진행해주시면 됩니다.(1) ‘연세대학교 사학과 학생회’에서 발급하는 <활동증명서>를 첨부하여 사학과 메일로 제출.(※8월 마지막 주 월요일 17시까지 제출)메일 제목: 이름_학번_학생회 활동 인증서 요청메일 내용: 안녕하세요. 20XX년도 학생회 학생회장을 역임한 000(학번)입니다.기관 제출을 위한 학생회 활동 인증서를 요청드립니다.｢붙임1: 학생회활동증명서｣를 첨부하였습니다.(2) 사학과 사무실에서는 해당 증명서를 8월 마지막 주 월요일까지 수합하여 학과장님께 전달, 학과장님께서 승인하시면 활동 인증서를 발급.활동 인증서 발급이 완료된 후 메일이 발송되니 잘 확인하시기 바랍니다. 인증서 발급은 9월 둘째주 월요일부터 금요일까지 수령이 가능합니다. 피치 못 할 사정으로 마감일까지 수령이 불가능할 경우 사전에 사학과 사무실로 연락바랍니다."
사학과,2025학년도 1학기 재입학 전형 안내,2024.10.29,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=214163&article.offset=0&articleLimit=10,"안녕하세요. 사학과 사무실입니다.2025년도 1학기 재입학 전형 요강을 안내드립니다.1) 접수 대상: 미등록, 미복학, 성적불량(제적일로부터 2년 경과된 자), 학기초과, 자원퇴학 제적자2) 접수 기간: 2024. 11. 25.(월)~ 12. 6.(금) 오후 5시3) 접수처: 교무처 학사지원팀(학사포탈 시스템)4) 합격자 발표: 2024. 12. 27.(금)자세한 내용은 첨부파일을 참고해주시기 바랍니다.감사합니다."
사학과,2025학년도 1학기 캠퍼스내 소속변경,2024.10.17,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=213423&article.offset=0&articleLimit=10,안녕하세요. 사학과 사무실입니다.캠퍼스 내 소속변경에 관해서 다음과 같이 안내드립니다.원서 접수 후 지원자가 있는 경우 아래와 같은 일정으로 진행합니다.구분일정비고소속변경 지원서 접수10. 28.(월) ~ 11. 1.(금)소속대학(학과) 1차 심사11. 5.(화) ~ 11. 6.(수)지원대학(학과) 서류심사11. 7.(목) ~ 11. 11.(월)지원대학(학과)에서 서류심사 후 면접대상자 지정가능면접대상 발표11. 14.(목)지원대학(학과) 면접11. 19.(화)최종 합격자 발표11. 29.(금)자세한 내용은 첨부한 파일을 참고하시기 바랍니다.감사합니다.
사학과,국제외국인 학생을 위한 비자 관리 플랫폼(VIVISA) 소개 세미나 개최,2024.10.15,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=213243&article.offset=0&articleLimit=10,"연세대학교 국제 외국인 학생을 위한 비자 관리 플랫폼 (VIVISA) 소개 세미나를 다음과 같이 개최하오니,관심있으신 분들은 참여해주시기 바랍니다- 일시 : 2024.10.16 (수) 오후 5시- 장소 :연세대학교 삼성관 최이순홀- 기타 : 세미나는 한국어, 영어 슬라이드로 진행되며, 학생들에게 설명서와 다과를 제공합니다.자세한 사항은 첨부파일을 확인하시기 바랍니다."
사학과,[졸업] 대학교양「정보와기술」필수이수 안내 (2022학년도 입학자부터),2024.09.06,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=210477&article.offset=0&articleLimit=10,안녕하세요. 사학과 사무실입니다.학사제도운영위원회 의결 (2020.12.10.)에 따라2022학년도 입학자부터 대학교양「정보와기술」영역을 필수로 이수하여야 합니다.(아래사진 / 2023 대학요람 p.392~396 참고)아울러문과대학 공통과목 중 2개 과목이 「정보와기술」영역으로 교차인정이 되기에 이 부분 참고해주시기 바랍니다.(아래사진 / 2023 대학요람 p.8 참고)위 내용을 반드시 확인하셔서 졸업에 차질이 없도록 신경써주시기 바랍니다.감사합니다.
사학과,2024학년도 2학기 졸업앨범 사진촬영 관련 안내,2024.08.23,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=209351&article.offset=0&articleLimit=10,"2024학년도 2학기 졸업앨범 사진촬영 관련으로 안내드립니다. 일정은 다음과 같습니다.1. 일시:2024년 9월5일(목) ~ 9월 11일(수)※ 우천시 예비일: 9월 12일(목), 13일(금)2. 장소: 학생회관 4층, 본관 앞(언더우드관 앞)3. 방식: 학과별 촬영 일자에 참석하여 촬영(실내 프로필, 학사모 사진, 야외 프로필, 학과 단체사진 촬영)자세한 내용은 첨부 파일을 참조해주시기 바랍니다."
사학과,[장학] 연세대학교 장학금 안내 책자 게시,2024.08.16,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=208908&article.offset=0&articleLimit=10,"안녕하세요, 사학과 사무실입니다.교내·외 다양한 장학제도에 대한 신입생 및 재학생의 이해를 높이고, 장학금별 신청시기나 신청방법을 몰라 수혜가능한 장학금을 놓치는 일이 없도록 도움을 주고자 '연세대학교 장학제도' 안내 리플렛을 게시합니다.참고해주시면 감사하겠습니다.감사합니다."
사학과,[대학원] 2024학년도 2학기 재입학 안내,2024.07.25,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=207731&article.offset=0&articleLimit=10,"2024학년도 2학기 대학원 재입학과 관련하여 안내드립니다.자세한 내용은 아래의 붙임파일을 참고해주시기 바랍니다.지원자격1) 미등록, 휴학만료, 자원퇴학, 성적불량 제적자※ 학기만료 제적, 징계 제적자는 재입학 불가2) 미등록, 휴학만료, 자원퇴학 사유로 과정수료 처리된 자※ 학기만료, 재심사 불합격 사유로 과정수료 처리된 자는 재입학 불가제출서류재입학 신청양식(재입학신청서, 재입학청원서, 학업계획서), 성적증명서신청 및 승인 절차학생 신청⇨학과 심사 및재입학 추천⇨대학원 심사⇨결과 통지2024. 7. 22. (월) ∼ 2024. 7. 31. (수)※ 연세포탈로 신청2024. 8. 1. (목) ∼ 2024. 8. 9. (금)2024. 8. 12. (월) ∼2024. 8. 16. (금)2024년 8월 말※ 연세포탈에서 확인 가능"
사학과,2024-1 연세사학연구회 19회 학술발표회,2024.06.10,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=191110&article.offset=0&articleLimit=10,연세사학연구회 19회 학술발표회 안내드리오니 관심있으신 분들의 많은 참여 바랍니다.행사명:제 19회 연세사학연구회 학술발표회일시: 6월 14일장소: 위당관 백주년기념관자세한 사항은 첨부파일을 참고해주시기 바랍니다.
사학과,2024학년도 1학기 학부 졸업앨범 사진촬영 안내,2024.04.15,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=187253&article.offset=0&articleLimit=10,"2024학년도 1학기 졸업앨범 사진촬영'안내드립니다.1. 일시:2024년 4월29일(월) ~ 5월 14일(화)※ 우천시 예비일: 5월 9일(목), 10일(금), 13일(월)2. 장소: 학생회관 4층, 본관 앞(언더우드관 앞)3. 방식: 학과별 촬영 일자에 참석하여 촬영 [붙임 참조](실내 프로필, 학사모 사진, 야외 프로필, 학과 단체사진 촬영)감사합니다."
사학과,2024학년도 2학기 캠퍼스내 소속변경 전형 안내,2024.04.12,https://history.yonsei.ac.kr/histroy/02_announce/notice.do?mode=view&articleNo=187105&article.offset=0&articleLimit=10,"학과로부터'2024학년도 2학기 캠퍼스내 소속변경 전형 안내문 게시 요청'을 받아 안내드립니다.자세한 사항은 첨부파일을 참고해주시기 바라며,캠퍼스내 소속변경 원서 접수 후 지원자가 있는 경우 다음과 같은 일정으로 진행 예정입니다.구분일정비고소속변경 지원서 접수4. 29.(월) ~ 5. 3.(금)소속대학(학과) 1차 심사5. 7.(화) ~ 5. 8(수)지원대학(학과) 서류심사5. 9.(목) ~ 5. 13(월)지원대학(학과)에서 서류심사 후 면접대상자 지정가능면접대상 발표5. 16.(목)지원대학(학과) 면접5. 21.(화)주요학사일정으로 안내된 5.16(목)에서 변경됨최종 합격자 발표5. 31.(금)감사합니다."
