department,title,date,link,context
노어노문학과,2025년 2월 졸업심사 관련 안내사항,2024.10.29,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=214169&article.offset=0&articleLimit=10,"안녕하세요 노어노문학과 사무실입니다.2025년 2월 졸업 관련하여 안내사항 전달해드립니다.2025년 2월 졸업예정자는 제2외국어 공인인증시험 성적 및 대체인정원 등 졸업과 관련된 서류를2024.12.19.(목)까지 과사무실로제출하여 주시기 바랍니다.문과대 측에서 행정 마감 기한이 2024.12.20.(금)까지 이므로, 과사무실 측에서 원활한 서류 검토를 위하여 전날까지 제출해주시면 감사하겠습니다.성적 제출 마감일을 잘 숙지하여 졸업에 차질이 없도록 준비해 주시기 바랍니다.이상입니다.조교 태영 드림- 제출 서류1. 토르플(TORFL) 2단계 이상 자격증2. 공통 교과목 대체인정원 (문과대학 공통과목 → 전선)3. 전공 교과목 대체인정원 (전선 → 전필)4. 대학교양 의무이수 면제 및 대체인정원 (러시아어(1),러시아어(2), 러시아어연습(1))* 해당 서류 서식은 노어노문학과 홈페이지 상단의 '<학부> 탭→ <각종 서식 자료실>'에서 다운받으실 수 있습니다."
노어노문학과,2024학년도 토르플 응시료 지원 사업,2024.06.10,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=191083&article.offset=0&articleLimit=10,"노어노문학과 학생 여러분의 러시아어 학습 성과를 촉진하기 위하여 토르플 시험 응시료 반액 지원 사업을 시행합니다.- 본 장학금은 합격 여부와 무관하게 지원됩니다.- 재학 중일 때 시험을 응시한 경우에는, 현재 졸업생 신분이어도 지원 가능합니다.- 재학 기간 중 1인 1회에 한정하여 지원 가능합니다.- 제출된 개인정보는 제출 목적(장학금 지급)이 달성된 이후 즉시 파기합니다.토르플 응시료 지원 접수링크 :https://forms.gle/tQanMG5xpEFttV387"
노어노문학과,생성형 AI 활용 가이드라인,2024.05.27,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=190128&article.offset=0&articleLimit=10,"생성형 AI활용 가이드라인 관련 안내생성형 AI는 예술, 음악, 소프트웨어 코드, 글쓰기 등 새롭고 독창적인 콘텐츠를 만들 수 있는 인공 지능의 한 분야로서 빠른 데이터 생성, 다양한 응용 가능성, 사용자 맞춤형 콘텐츠 제공 등을 제공하면서 그 기술은 끊임없이 발전하고 있으며, 대학 교육에 생성형 AI 활용은 교육 및 연구에 변화를 가져오고 있습니다.이와 관련하여 가이드라인 첨부해 드리니 참고해 주시기 바랍니다.감사합니다."
노어노문학과,22학년도 이후 입학자에 대한 필수교양 수강 안내사항,2023.12.15,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=179538&article.offset=0&articleLimit=10,"안녕하세요, 노어노문학과 사무실입니다.학사제도운영위원회 의결(2020. 12. 10.)에 따라,2022학년도 입학자부터는 대학교양 「정보와기술」영역 교과를 필수로 이수하여야 합니다.교차 인정이 가능한 교양 과목으로는디지털언어데이터와인문학, 인문학을위한코딩이 있음을 덧붙여 안내 드립니다.졸업 요건 심사 시 차질이 없도록 주의 부탁드립니다.감사합니다."
노어노문학과,"""러시아어 수업"" 관련 수강 지침",2023.06.30,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=169394&article.offset=0&articleLimit=10,"RUSSHOLIC 연세대학교 노어노문학과“러시아어 수업” 수강 관련 지침1. “러시아어 수업”이란 연세대학교 노어노문학과에서 개설되는러시아어 (1),(2), 러시아어연습(1)[이상 초급],중급러시아어(1),(2), 중급러시아어연습(1),(2)[이상 중급],고급러시아어(1),(2), 고급러시아어연습(1),(2)[이상 고급],TORFL 러시아어, 커리어 러시아어[이상 최상급]을 지칭합니다.2. 연세대학교 노어노문학과는 문법, 읽기, 쓰기, 듣기, 말하기가 모두 포함된종합적이고 균형 잡힌러시아어 교육을 지향하며, 졸업 시까지 TORFL 2단계 인증을 목표로 합니다.3. 노어노문학과 1,2학년생들은 1학년 2학기부터 총 3학기 동안 한국인과 러시아인 교수의 수업(주당 총 7- 8시간)을 함께 수강해야 합니다. 한국인(러시아어, 중급러시아어)과 러시아인 교수의 수업(러시아어 연습, 중급러시아어 연습)은하나의 교재를 바탕으로 진행됩니다.4. 모든 학생들은자신의 실력에 맞는수업을 수강하여 학습 의욕과 효과를 극대화하고, 비슷한 실력의 학생들 사이에서공정한 경쟁을 통해 자신의 노력 및 재능에 대한 정당한 평가를 받도록 합니다. 그 원칙에서 벗어나는부정직하고편법적인모든 시도는 학과 내규로써 불허하며, 수강 지도와 성적 상한제 등의 제도로 제제합니다.5. ""러시아어 수업""의 모든 수강자는 매 학기 수업 첫날“레벨테스트”를 치고,“수강생 러시아어 능력 설문”을 제출하여야 합니다. 위 수업의 수강자는 이 두 가지 자료를 바탕으로 하여 해당 과목 담당 선생님 및 학과장 선생님과 개별 면담 후 수강과목을 변경할 수 있습니다.6.“러시아어(1)”의 경우는 “수강생 러시아어 능력 설문”만을 바탕으로 결정합니다.7. “레벨테스트”에서부정행위를 하거나, 낮은 점수를 만들기 위해 일부러 시험을 잘못 본 것, 혹은 “러시아어 능력 설문”의 내용을허위로 기재한 것이 발각될 경우, 성적에 불이익(A대학점 불가)을 받을 수 있습니다.8. 매 학기수업 첫 날 결석한학생은 담당 선생님과 별도의 연락을 통해 “레벨테스트”를 하고 “러시아어 능력 설문”을 반드시 제출하거나, 이에 상당하는 내용에 대해 담당 선생님과 전화면담을 하여야 합니다.9.초급 및 중급 러시아어 과목의 경우,러시아어권(러시아와 러시아어 통용지역)에서1학기 이상 어학연수를 하거나1년 이상 장기간 거주를 한 학생은 원칙적으로 수강해서는 안 되며, 전공필수 과목에 한하여 학과장 선생님과 면담을 통해 다른 과목 수강으로 해당 과목 수강을 인정받을 수 있습니다.10.러시아 및 러시아어 통용 국가(우크라이나, 벨라루스, 우즈베키스탄, 카자흐스탄 등) 출신의 학생은 “러시아어 수업”을 수강할 수 없습니다. 노어노문학과에서 개설하는 문학, 언어학 및 기타 과목만 수강이 가능하며, 3,4학년부터는 지도교수 승인 하에 대학원 과목을 수강하여 학점 인정받을 수 있습니다.11.토르플 2급 소지자또는 그에 준하는 러시아어 능력자는고급러시아어연습(1),(2), 커리어 러시아어또는 대학원 과목(담당 교수 승인 하에 3,4학년부터)을 수강할 수 있습니다.12.고등학교에서 러시아어를 전공한 학생등 러시아어 선행 학습이 있는 경우,중급 수준 이상의 과목 수강이 원칙이며, 능력 테스트 결과에 따라 적절한 수준의 과목으로 수강 안내 받게 됩니다.13.재수강은 원칙적으로 권장하지 않으며, 불가피한 사유(질병, 사고 등)로 인한 경우가 아니라면 재수강은 지양해주시기 바랍니다. 재수강시 취득 학점 상한선은 학칙에 따릅니다.14. 학칙에 따라 한 학기 실제수업시간의1/3 이상을 결석한학생에게는 학업성적을 인정하지 않으며 ('F'의 성적을 부여), 중간고사와 기말고사에미응시하거나, 시험 중부정행위를 한 학생은 F를 받게 됩니다.* OnlyABSOLUTE beginnerscan take “Russian (1)”, and those who are already able to speak Russian even a bit, are required to take aplacement test. Most classes will be taught in Korean.*НОСИТЕЛЕЙрусского языкаНЕ принимаютна занятия русского языка."
노어노문학과,'연세대학교 창업지원단장' 창업설명회,2024.11.06,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=214573&article.offset=0&articleLimit=10,"‘연세대학교 창업지원단장’창업설명회 신청 안내- 신청 링크:https://forms.gle/f6BkmBc24y5d7ZFN9- 당일 오후 5시부터 ‘문과대생을 위한 창업특강’이 이어서 개최될 예정 (타단과대생 신청가능, 신청 링크:https://forms.gle/1xLsRjj4qT)- 문의: 문과대학 인문예술진흥사업단 02-2123-7920, humanart@yonsei.ac.kr"
노어노문학과,진로계획세미나 동문초청특강 <의료통번역에서 사법통번역까지>,2024.11.04,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=214493&article.offset=0&articleLimit=10,"2024년 11월 11일 월요일 오후 6시 <진로계획세미나>에서박혜림(노문07, 법정전문통역인, 법률사무소 패럴리걸) 동문의 특강이 진행됩니다.진로계획세미나 과목의 수강생이 아니더라도, 관심 있는 학우라면 누구든지 참석 가능합니다."
노어노문학과,2024-2학기 문과대생을 위한 창업특강 홍보,2024.10.31,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=214305&article.offset=0&articleLimit=10,"안녕하세요 노어노문학과 사무실입니다.연세대에서 주체하는 문과대 학생들을 위한 창업특강이 열려 홍보 차 게시해드립니다.관심있으신 학생분들은 아래 링크 통해 신청해주시면 되겠습니다.< 문과대생을 위한 창업 특강 >1. 참여대상: 문과대학생 및 창업에 관심 있는 연세대생 누구나(타단과생 참여 가능)2. 교육일정: 2024년 11월 11일 16시 ~ 20시 / 11월 18일, 25일 17시 ~ 20시※ 특별행사: 2024년 11월 11일 16시 ~ 17시 연세대 이준상 창업지원단장의 창업설명회(교수, 교직원, 학생 모두 참여 가능)3. 교육장소: 위당관 6층 백주년기념홀4. 참가자 혜택: 전회차(3회) 참석자 중 우수참여자에게 창업활동 지원금 20만원 지급, 모든 참석자에게 매회 간단한 식사 및 다과 제공5. 문의: 문과대학 인문예술진흥사업단(02-2123-7920, humanart@yonsei.ac.kr)6. 신청방법: 인문예술진흥사업단 홈페이지(humanart.yonsei.ac.kr), 구글 폼(https://forms.gle/M7hzihszgBgcgVbx5)이상입니다.조교 태영 드림"
노어노문학과,진로계획세미나 동문초청특강 <법조직역에서 러시아어 전공 살리기>,2024.10.30,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=214200&article.offset=0&articleLimit=10,"2024년 11월 4일 월요일 오후 6시 <진로계획세미나>에서고민석 (노문07, KL법률사무소 대표변호사) 동문의 특강이 진행됩니다.진로계획세미나 과목의 수강생이 아니더라도, 관심 있는 학우라면 누구든지 참석 가능합니다."
노어노문학과,제 1회 노문인의 밤 개최,2024.10.29,https://rus.yonsei.ac.kr/russia/borad_main.do?mode=view&articleNo=214171&article.offset=0&articleLimit=10,안녕하세요 노어노문학과 사무실입니다.연세대학교 노어노문학과 학생회 <NOW> 에서 주최하는 제 1회 노문인의 밤 행사 홍보를 위해 게시합니다.많은 참여 부탁드립니다.일자 : 2024. 11. 01. 19:00장소 : 연세대학교 백양누리 김순전홀
